move,көшу
personal,жеке
open,ашық
support,қолдау
simply,жай
catch,ұстап алу
step,қадам
baby,нәресте
type,түрі
attention,назар
draw,сурет салу
tree,ағаш
source,қайнар көз
nearly,дерлік
organization,ұйым
choose,таңдау
cause,себеп
hair,шаш
look,қарау
point,нүкте
century,ғасыр
window,терезе
difficult,қиын
listen,тыңдау
soon,тез
culture,мәдениет
chance,кездейсоқтық
brother,аға
period,кезең
course,курс
summer,жаз
less,аздау
realize,түсіну
hundred,жүз
available,қол жетімді
likely,мүмкін
opportunity,мүмкіндік
short,қысқа
letter,хат
condition,жағдай
choice,таңдау
place,орын
rule,ереже
daughter,қыз
administration,басқарма
south,оңтүстік
husband,күйеу
floor,еден
population,халық
well,жақсы
call,шақыру
economy,экономика
hospital,аурухана
church,шіркеу
close,жабық
thousand,мың
risk,тәуекел
fire,от
future,келешек
wrong,қате
defense,қорғаныш
anyone,кез келген
increase,арттыру
security,қауіпсіздік
myself,өзім
certainly,әрине
west,батыс
board,тақта
seek,іздеу
subject,пән
private,жеке
rest,демалыс
behavior,мінез-құлық
deal,мәміле
fight,төбелес
throw,лақтыру
quickly,тез
past,өткен
goal,мақсат
bed,төсек
order,бұйрық
fill,толтыру
foreign,шетел
drop,тастау
plan,жоспар
blood,қан
upon,үстінде
agency,агенттік
push,басу
nature,табиғат
color,түс
recently,жуырда
store,қойма
reduce,азайту
sound,дыбыс
note,ескерту
fine,айыппұл
before,бұрын
near,жақын
movement,қозғалыс
page,бет
enter,кіру
share,үлес
than,қарағанда
common,ортақ
poor,кедей
other,басқа
natural,табиғи
race,нәсіл
concern,қамқорлық
series,серия
significant,маңызды
similar,ұқсас
hot,ыстық
language,тіл
each,әрбір
usually,әдетте
response,жауап
dead,өлі
rise,көтерілу
animal,жануар
factor,фактор
decade,он жылдық
article,мақала
shoot,ату
east,шығыс
save,құтқару
artist,әртіс
away,аулақ
scene,сахна
stock,қор
career,мансап
despite,қарамастан
central,орталық
eight,сегіз
thus,осылайша
treatment,емдеу
beyond,ар жағында
happy,бақытты
exactly,дәл
protect,қорғау
approach,жақындау
lie,өтірік
size,мөлшер
dog,ит
fund,қор
serious,байыпты
occur,орын алу
ready,дайын
sign,белгі
thought,ой
list,тізім
individual,жеке
simple,қарапайым
quality,сапа
pressure,қысым
accept,қабылдау
answer,жауап
hard,қиын
resource,ресурс
identify,анықтау
left,сол
meeting,кездесу
determine,анықтау
prepare,әзірлеу
disease,ауру
whatever,бәрі бір
success,жетістік
argue,дауласу
cup,кесе
particularly,ерекше
ability,қабілет
staff,қызметкерлер
recognize,тану
indicate,көрсету
character,кейіпкер
growth,өсу
loss,жоғалту
degree,градус
wonder,керемет
attack,шабуыл
herself,өзі
region,аймақ
television,теледидар
box,қорап
training,оқыту
pretty,әдемі
trade,сауда
election,сайлау
everybody,әркім
physical,физикалық
lay,қою
general,жалпы
feeling,сезім
standard,стандартты
bill,шот
message,хабар
fail,сәтсіздік
outside,сыртында
arrive,келу
analysis,талдау
benefit,пайда
sex,жыныс
forward,алға
lawyer,заңгер
present,қазіргі
section,бөлім
environmental,экологиялық
glass,шыны
answer,жауап
skill,дағды
sister,қарындас
financial,қаржылық
crime,қылмыс
stage,кезеңі
compare,салыстыру
miss,сағыну
design,жобалау
sort,сорт
one,бір
act,акт
knowledge,білім
gun,мылтық
station,станция
blue,көк
state,мемлекет
strategy,стратегия
little,кішкентай
clearly,анық
discuss,талқылау
indeed,шынында
force,күш
truth,шындық
song,өлең
example,мысал
check,тексеру
environment,қоршаған орта
leg,аяқ
dark,қараңғы
various,түрлі
laugh,күлкі
guess,жорамал
executive,атқарушы
study,оқу
prove,дәлелдеу
hang,ілу
design,жобалау
enough,жеткілікті
forget,ұмыту
claim,талап
remove,кетіру
manager,басқарушы
help,көмектесу
close,жабық
sound,дыбыс
enjoy,рахаттану
network,желі
legal,заңды
religious,діни
cold,суық
form,форма
final,соңғы
main,басты
science,ғылым
memory,жад
card,кәртішке
above,жоғарыда
seat,орын
cell,клетка
establish,орнату
nice,жақсы
expert,сарапшы
that,сол
spring,көктем
firm,қатты
visit,бару
management,басқару
care,қамқорлық
avoid,болдырмау
imagine,елестету
tonight,бугін кешке
huge,үлкен
ball,доп
close,жабық
finish,мәре
yourself,өзін
talk,әңгіме
theory,теория
impact,әсер
respond,жауап беру
statement,мәлімдеме
maintain,ұстау
charge,төлем
popular,әйгілі
traditional,дәстүрлі
onto,үстіне
reveal,ашу
direction,бағыт
weapon,қару
employee,қызметкер
cultural,мәдениетті
peace,бейбітшілік
head,бас
control,бақылау
base,негіз
pain,ауру
apply,қолдану
play,ойын
measure,өлшеу
wide,кең
shake,селкілдеу
fly,шыбын
interview,сұхбат
manage,басқару
chair,кафедра
fish,балық
particular,ерекше
structure,құрылым
politics,саясат
perform,орындау
bit,биттік
weight,салмақ
suddenly,кенеттен
discover,ашу
candidate,кандидат
production,өнім
treat,сүйсіну
trip,сапар
evening,кеш
affect,әсер
inside,ішінде
conference,конференция
unit,бірлік
best,ең жақсы
style,стиль
adult,ересек
range,диапазон
mention,еске алу
rather,тезірек
far,алыс
deep,терең
past,өткен
specific,ерекше
writer,жазушы
trouble,қиыншылық
necessary,қажет
challenge,жарыс
fear,қорқыныш
shoulder,иық
institution,институт
middle,орта
sea,теңіз
dream,арман
beautiful,әдемі
property,меншік
instead,орнына
improve,жетілдіру
stuff,материал
detail,деталь
method,әдіс
sign,белгі
somebody,біреу
magazine,журнал
hotel,мейманхана
soldier,солдат
reflect,көрсетуі
heavy,ауыр
sexual,жыныстық
bag,сумка
heat,ыстық
fall,құлау
marriage,неке
tough,қиын
sing,ән салу
surface,беті
purpose,мақсат
pattern,үлгі
whom,кімге
skin,тері
owner,ие
down,төмен
ahead,алда
generation,ұрпақ
commercial,коммерциялық
address,мекен-жай
cancer,қатерлі ісік
test,сынақ
reality,шындық
coach,жаттықтырушы
step,қадам
yard,аула
violence,зорлық-зомбылық
total,жалпы
tend,бейім
discussion,талқылау
finger,саусақ
garden,бақ
notice,ескерту
modern,қазіргі заманғы
task,тапсырма
partner,серіктес
positive,жағымды
civil,азаматтық
kitchen,ас үй
shot,ату
budget,бюджет
wish,тілек
painting,сурет
scientist,ғалым
safe,қауіпсіз
agreement,келісім
capital,капитал
mouth,ауыз
victim,құрбан
newspaper,газет
instead,орнына
threat,қауіп-қатер
responsibility,жауапкершілік
smile,күлімсіреу
account,шот
interesting,қызықты
break,үзіліс
rich,бай
dinner,түскі ас
figure,сан
vote,дауыс
western,батыс
relate,қатысты
travel,туристік
debate,жарыссөз
prevent,болдырмау
citizen,азамат
majority,көпшілік
none,бірде-бір
front,алдыңғы
born,туған
admit,мойындау
senior,үлкен
wind,жел
key,кілт
professional,кәсіби
mission,миссия
fast,жылдам
alone,тек
customer,сатып алушы
suffer,азап шегу
speech,сөйлеу
successful,табысты
option,таңдау
participant,қатысушы
southern,оңтүстік
fresh,жаңа
eventually,ақырында
forest,орман
video,бейне
global,ғаламдық
reform,реформа
access,қол
restaurant,мейрамхана
judge,сот
publish,жариялау
cost,құны
relation,қатынасы
like,сияқты
release,босату
own,өз
bird,құс
opinion,пікір
credit,несие
corner,бұрыш
concerned,мүдделі
recall,еске түсіру
version,нұсқа
stare,қадалу
safety,қауіпсіздік
effective,әсерлі
neighborhood,көршілестік
original,түпнұсқа
troop,отряд
income,табыс
directly,тікелей
hurt,ауыру
species,түрлері
immediately,дереу
track,жол
basic,негізгі
strike,ереуіл
hope,үміт
sky,аспан
freedom,бостандық
absolutely,мүлде
plane,ұшақ
nobody,ешкім
achieve,мақсатқа жету
object,зат
attitude,көзқарас
labor,еңбек
concept,түсінік
client,клиент
powerful,күшті
perfect,өте жақсы
therefore,сондықтан
examine,тексеру
touch,жанасу
please,өтінемін
attend,қатысу
completely,түгел
vote,дауыс
sleep,ұйықтау
turn,бұрылу
investigation,зерттеу
nuclear,ядролық
researcher,зерттеуші
press,баспасөз
conflict,қақтығыс
spirit,рух
experience,тәжірибе
replace,ауыстыру
encourage,жігерлендіру
argument,дәлел
once,бір рет
camp,лагерь
brain,ми
feature,ерекшелік
afternoon,түс
weekend,демалыс күндері
insurance,сақтандыру
department,бөлім
battle,шайқас
beginning,басы
date,дата
generally,әдетте
very,өте
sorry,кешіріңіз
crisis,дағдарыс
complete,аяқталған
fan,желдеткіш
stick,таяқ
define,анықтау
easily,оңай
through,арқылы
hole,тесік
element,элемент
vision,көру
status,мәртебе
normal,қалыпты
ship,кеме
solution,шешім
stone,тас
slowly,баяу
scale,ауқымды
bit,биттік
university,университет
introduce,таныстыру
driver,жүргізуші
attempt,әрекет
park,парк
spot,дақ
lack,болмауы
ice,мұз
boat,қайық
drink,сусын
sun,күн
front,алдыңғы
distance,қашықтық
wood,орман
handle,тұтқа
truck,жүк
return,қайтару
mountain,тау
supposed,көзделіп
tradition,дәстүр
winter,қыс
village,ауыл
refuse,бас тарту
sale,сату
roll,орам
communication,қарым-қатынас
run,жүгіру
screen,экран
gain,пайда
resident,тұрғын
hide,жасыру
gold,алтын
club,клуб
future,келешек
farm,ферма
potential,әлеует
increase,арттыру
middle,орта
independent,тәуелсіз
district,аудан
shape,кескін
reader,оқырман
contract,шарт
crowd,тобыр
express,білдіру
apartment,пәтер
willing,әзір
strength,күш
previous,алдыңғы
band,топ
obviously,анық
horse,жылқы
interested,мүдделі
target,нысана
prison,түрме
ride,жүру
guard,күзетші
terms,терминдер
demand,талап
deliver,жеткізу
text,мәтін
share,үлес
tool,аспап
wild,жабайы
vehicle,көлік құралы
observe,байқау
flight,ұшу
inside,ішінде
average,орташа
emerge,пайда болу
advantage,басымдық
quick,жылдам
light,жарық
leadership,көшбасшылық
earn,ақша табу
pound,қадақ
basis,негіз
bright,ашық
operate,басқару
guest,қонақ
sample,үлгі
contribute,жәрдемдесу
tiny,кішкентай
block,блок
protection,қорғаныс
settle,орналасу
feed,жем
collect,жинау
additional,қосымша
while,уақытында
highly,жоғары
title,тақырып
mostly,көбінесе
lesson,сабақ
faith,сенім
river,өзен
promote,ықпал ету
living,тұрғын
present,қазіргі
count,санау
unless,егер
marry,тұрмысқа шығу
tomorrow,ертең
technique,техника
path,жол
ear,құлақ
shop,дүкен
folk,халық
order,бұйрық
principle,қағида
survive,аман қалу
lift,көтеру
border,шекара
competition,жарыс
jump,секіру
gather,жинау
limit,шектеу
fit,қиыстыру
claim,талап
cry,айқайлау
equipment,жабдық
worth,құны
associate,әріптес
critic,сыншы
warm,жылы
result,нәтиже
insist,талап ету
failure,сәтсіздік
annual,жылдық
comment,пікір
responsible,жауапты
affair,іс
approach,жақындау
until,дейін
procedure,рәсім
regular,жүйелі
spread,тарату
chairman,төраға
soft,жұмсақ
ignore,ескермеу
egg,жұмыртқа
measure,өлшеу
belief,сенім
demonstrate,көрсету
anybody,біреу
murder,өлтіру
gift,сыйлық
religion,дін
review,шолу
editor,редактор
past,өткен
engage,айналасу
coffee,кофе
document,құжат
speed,жылдамдық
cross,крест
influence,әсер ету
anyway,бәрібір
threaten,қорқыту
female,әйел
youth,жастар
wave,толқын
move,көшу
afraid,қорқады
quarter,ширек
native,туған
broad,кең
wonderful,тамаша
deny,мойындамау
apparently,шамасы
slightly,сәл
reaction,реакция
twice,екі рет
suit,костюм
growing,өсіп келе жатқан
blow,үрлеу
construction,құрылыс
kind,мейірімді
intelligence,ақыл
destroy,қирату
connection,байланыс
charge,төлем
burn,күйік
shoe,туфли
view,көрініс
grade,сынып
context,контекст
mistake,қателік
smile,күлімсіреу
location,орналасқан жері
clothes,киім
quiet,тыныш
dress,көйлек
promise,уәде
aware,хабардар
neighbor,көрші
complete,аяқталған
drive,диск
function,функция
bone,сүйек
active,белсенді
extend,ұзарту
chief,бас
average,орташа
combine,біріктіру
wine,шарап
below,төменде
cool,салқын
mean,білдіру
demand,талап
hell,тозақ
dangerous,қауіпті
remind,еске салу
moral,моральдық
united,біріккен
category,санат
relatively,біршама
victory,жеңіс
key,кілт
academic,академиялық
visit,бару
Internet,ғаламтор
healthy,сау
fire,от
negative,жағымсыз
following,келесі
historical,тарихи
medicine,дәрі
tour,саяхат
depend,меншікті болу
grab,шап беру
direct,тура
contact,байланыс
justice,әділдік
participate,қатысу
daily,күн сайын
fair,әділ
pair,жұп
famous,атақты
exercise,жаттығу
knee,тізе
flower,гүл
tape,таспа
hire,жалдау
familiar,таныс
appropriate,қолайлы
supply,жабдықтау
fully,толық
cut,кесу
will,ерік
actor,актер
birth,туу
search,іздеу
tie,галстук
democracy,демократия
eastern,шығыс
primary,негізгі
yesterday,кеше
circle,шеңбер
device,құрал
progress,прогресс
front,алдыңғы
bottom,түп
island,арал
exchange,айырбастау
clean,таза
train,поезд
lady,ханым
colleague,әріптес
application,қолдану
neck,мойын
lean,сүйену
damage,залал
plastic,пластмасса
tall,ұзын бойлы
plate,табақша
hate,жек көру
otherwise,әйтпесе
writing,жазу
press,баспасөз
male,ер
start,бастау
alive,тірі
expression,білдіру
intention,ниет
attack,шабуыл
chicken,тауық
theater,театр
shut,жабу
map,карта
extra,қосымша
session,сессия
danger,қауіп
domestic,ішкі
literature,әдебиет
rain,жаңбыр
desire,тілек
assessment,баға
injury,жара
respect,құрмет
northern,солтүстік
nod,бас изеу
paint,бояу
fuel,отын
leaf,жапырақ
direct,тура
dry,құрғақ
instruction,нұсқау
fight,төбелес
pool,бассейн
climb,өрмелеу
sweet,тәтті
engine,қозғалтқыш
salt,тұз
expand,кеңейту
importance,маңыздылық
metal,металл
fat,май
ticket,билет
software,бағдарламалық қамтамасыз ету
disappear,жоғалып
corporate,корпоративтік
strange,оғаш
lip,ерін
reading,оқу
urban,қалалық
mental,ақыл-ой
increasingly,барған сайын
lunch,түскі ас
educational,білім беру
somewhere,бір жерде
farmer,фермер
above,жоғарыда
sugar,қант
planet,планета
favorite,сүйікті
explore,зерттеу
obtain,алу
enemy,жау
greatest,ең
complex,күрделі
surround,қоршау
athlete,спортшы
invite,шақыру
repeat,қайталау
carefully,мұқият
soul,жан
scientific,ғылыми
impossible,мүмкін емес
panel,панел
meaning,мағына
mom,ана
married,үйленген
alone,тек
instrument,аспап
predict,болжау
weather,ауа райы
presidential,президенттік
emotional,эмоционалдық
commitment,міндеттеме
supreme,жоғарғы
bear,аю
pocket,қалта
thin,жұқа
temperature,температура
surprise,тосын
poll,сұрау
proposal,ұсыныс
consequence,салдар
half,жарты
breath,тыныс
sight,көру
cover,қақпақ
balance,баланс
adopt,қабылдау
minority,азшылық
straight,түзу
attempt,әрекет
connect,қосылу
works,жұмыстар
teaching,оқу-әдістемелік
belong,тиесілі
aid,көмек
advice,кеңес
photograph,фотосурет
empty,бос
regional,аймақтық
trail,соқпақ
novel,роман
code,код
somehow,қалай да
organize,ұйымдастыру
jury,әділ қазылар алқасы
breast,төс
human,адам
acknowledge,растау
theme,тақырып
storm,дауыл
union,одақ
record,рекорд
desk,жазу үстелі
fear,қорқыныш
fruit,жеміс
under,астында
expensive,қымбат
yellow,сары
conclusion,қорытынды
shadow,көлеңке
struggle,күрес
conclude,қорыту
analyst,талдаушы
dance,би
limit,шектеу
like,сияқты
regulation,реттеу
being,болып табылатын
last,соңғы
ring,жүзік
largely,негізінен
shift,ауысым
revenue,табыс
mark,белг
appearance,келбеті
package,пакет
difficulty,қиындық
bridge,көпір
recommend,ұсыну
obvious,анық
train,поезд
basically,негізінде
e-mail,электрондық пошта
generate,жасау
anymore,енді
propose,ұсыну
thinking,ойлау
possibly,мүмкін
trend,үрдіс
visitor,келуші
loan,қарыз
currently,қазіргі уақытта
comfortable,қолайлы
but,бірақ
profit,пайда
angry,ашулы
crew,экипаж
deep,терең
male,ер
meal,тамақ
hearing,есту
traffic,қозғалыс
muscle,бұлшық
notion,ұғым
capture,ұстау
prefer,ұнату
truly,шын мәнінде
earth,жер
chest,кеуде
search,іздеу
thick,қалың
cash,ақша
museum,мұражай
beauty,сұлулық
emergency,төтенше жағдай
unique,бірегей
feature,ерекшелік
internal,ішкі
ethnic,этникалық
link,байланыс
stress,стресс
content,мазмұны
select,таңдау
root,түбір
nose,мұрын
declare,жариялау
outside,сыртында
appreciate,бағалау
actual,нақты
hardly,әрең
setting,параметр
launch,ұшыру
dress,көйлек
file,файл
sick,ауру
outcome,нәтиже
ad,жарнама
defend,қорғау
matter,мәселе
judge,сот
duty,баж
sheet,парақ
ought,тиіс
ensure,қамтамасыз ету
extremely,төтенше
extent,дәреже
component,құрамдас
mix,араластыру
long-term,ұзақ мерзімді
slow,баяу
contrast,қарама-қарсылық
zone,аймақ
wake,ояту
challenge,шақыру
airport,әуежай
chief,бас
shirt,көйлек
pilot,ұшқыш
warn,ескерту
cat,мысық
contribution,үлес
capacity,сыйымдылық
ourselves,өзіміз
estate,мүлік
guide,гид
circumstance,жағдай
snow,қар
politician,саясаткер
steal,ұрлау
pursue,қуғындау
slip,таю
percentage,пайыз
meat,ет
funny,күлкілі
soil,топырақ
influence,әсер ету
surgery,хирургия
correct,дұрыс
blame,кінә
estimate,бағалау
late,кеш
investigate,зерттеу
crazy,есі ауысқан
significantly,айтарлықтай
chain,шынжыр
address,мекен-жай
branch,филиал
combination,комбинация
just,әділ
frequently,жиі
governor,губернатор
relief,көмек
user,пайдаланушы
dad,әке
kick,тебу
part,бөлім
manner,тәртібі
ancient,ежелгі
silence,тыныштық
rating,рейтингі
golden,алтын
motion,қозғалыс
gender,жыныс
solve,шешу
fee,төлем
landscape,ландшафт
used,пайдаланылған
bowl,тостаған
equal,тең
long,ұзақ
official,ресми
forth,төртінші
frame,рама
typical,типтік
except,қоспағанда
conservative,консервативті
eliminate,жою
hall,зал
trust,сенім
ocean,мұхит
row,қатар
producer,өндіруші
afford,мүмкіндік
meanwhile,Сонымен қатар
regime,режим
division,бөлу
confirm,растау
fix,бекіту
appeal,арыз беру
mirror,айна
tooth,тіс
length,ұзындық
entirely,толық
rely,сену
topic,тақырып
complain,наразылық білдіру
issue,іс
variable,құбылмалы
back,артқа
range,диапазон
telephone,телефон
perception,қабылдау
attract,тарту
confidence,сенім
bedroom,ұйықтайтын бөлме
secret,құпия
debt,қарыз
rare,сирек
his,оның
tank,танк
nurse,медбике
coverage,қамту
opposition,оппозиция
aside,шетке
anywhere,кез келген жерде
file,файл
pleasure,рахат
master,мастер
era,дәуірі
requirement,талап
check,тексеру
stand,тұру
fun,ермек
expectation,күту
wing,қанат
separate,жеке
now,қазір
clear,айқын
struggle,күрес
mean,білдіреді
somewhat,біраз
pour,құю
stir,араластыру
judgment,шешім
clean,таза
except,қоспағанда
beer,сыра
tear,жыртылу
doubt,күмән
seriously,шындап
totally,тұтас
hero,батыр
industrial,индустриялық
cloud,бұлт
stretch,созу
winner,жеңімпаз
volume,көлем
travel,туристік
seed,тұқым
surprised,таң
rest,демалыс
fashion,сән
pepper,бұрыш
separate,жеке
busy,бос емес
intervention,араласу
copy,көшірме
tip,кеңес
below,төменде
cheap,арзан
aim,мақсат
welfare,әлеуметтік қамтамасыз ету
vegetable,көкөніс
gray,сұр
dish,табақ
beach,жағажай
improvement,жетілдіру
everywhere,барлық жерде
opening,ашылу
overall,жалпы
divide,бөлу
initial,бастапқы
terrible,қорқынышты
oppose,қарсыласу
contemporary,заманауи
route,бағыт
multiple,бірнеше
essential,қажетті
question,сұрақ
league,лигасы
criminal,қылмыскер
careful,сақ
core,өзек
upper,жоғарғы
rush,асығу
necessarily,міндетті
specifically,арнайы
tired,шаршаған
rise,көтерілу
tie,галстук
employ,жұмысқа тұру
holiday,мереке
dance,би
vast,зор
resolution,қаулы
household,отбасы
fewer,аз
abortion,түсік
apart,бөлек
witness,куәгер
match,матч
barely,әрең
sector,сектор
representative,өкіл
lack,болмауы
beneath,астында
beside,жанында
black,қара
incident,оқиға
limited,шектеулі
proud,тәкаппар
flow,ағын
faculty,факультет
increased,өсті
waste,жарату
merely,ғана
mass,масса
definitely,айқын
bomb,бомба
enormous,орасан үлкен
tone,үн
liberal,либерал
massive,көлемді
wheel,дөңгелек
female,әйел
decline,құлдырау
invest,инвестиция
promise,уәде
expose,ұшырату
rural,ауылдық
narrow,тар
cream,кілегей
secretary,хатшы
gate,Қақпа
solid,қатты
hill,төбе
typically,әдетте
noise,шу
grass,шөп
unfortunately,өкінішке орай
legislation,заң шығару
succeed,табысқа
either,немесе
celebrate,тойлау
achievement,жетістік
fishing,балық аулау
drink,сусын
accuse,айыптау
hand,қол
useful,пайдалы
land,жер
secret,құпия
reject,қабылдамау
talent,талант
taste,дәм
characteristic,тән
milk,сүт
escape,қашу
cast,құю
sentence,сөйлем
unusual,әдеттен тыс
closely,тығыз
convince,сендіру
height,биіктік
physician,дәрігер
sleep,ұйықтау
plenty,көп
ride,жүру
virtually,іс жүзінде
first,бірінші
addition,қосу
sharp,өткір
lower,төменгі
behind,артында
approve,мақұлдау
explanation,түсіндіру
outside,сыртында
campus,университет қалашығы
proper,дұрыс
live,тірі
guilty,кінәлі
living,тұрғын
acquire,сатып алу
compete,жарысу
technical,техникалық
plus,плюс
mind,ақыл
potential,әлеует
immigrant,оралман
weak,әлсіз
illegal,заңсыз
alternative,балама
interaction,өзара іс-қимыл
column,колонна
personality,жеке адам
signal,сигнал
curriculum,оқу жоспары
list,тізім
honor,ар
passenger,жолаушы
assistance,көмек
forever,мәңгі
fun,ермек
regard,қатысты
association,қауымдастық
knock,қағу
review,шолу
wrap,орау
lab,зертханалық
offer,ұсыну
display,көрсету
criticism,сын
asset,актив
depression,депрессия
spiritual,рухани
musical,музыкалық
journalist,журналист
prayer,дұға
suspect,күдікті
scholar,ғалым
warning,ескерту
climate,климат
cheese,ірімшік
observation,қадағалау
childhood,балалық шақ
payment,төлем
sir,мырза
permit,рұқсат ету
cigarette,сигарета
definition,анықтама
priority,басымдық
bread,нан
creation,жаратылыс
graduate,түлек
request,өтініш
emotion,эмоция
scream,айқай
dramatic,драмалық
universe,ғалам
gap,кемістік
excellent,тамаша
deeply,терең
prosecutor,айыптаушы
mark,белгі
green,жасыл
lucky,бақытты
drag,сүйреу
airline,әуе
library,кітапхана
agenda,күн тәртібі
recover,қайтару
factory,фабрика
selection,таңдау
primarily,алдымен
roof,шатыр
unable,қабілетсіз
expense,шығын
initiative,бастама
diet,диета
arrest,тұтқындау
funding,қаржыландыру
therapy,терапия
wash,жуу
schedule,кесте
sad,қайғылы
brief,қысқаша
housing,тұрғын үй
post,кейінгі
purchase,сатып алу
existing,қолданыстағы
dark,қараңғы
steel,болат
regarding,жайында
shout,айқайлау
remaining,қалған
visual,көру
fairly,жеткілікті
chip,сынық
violent,зорлық-зомбылық
silent,тыныш
suppose,болжау
self,өзін-өзі
bike,велосипед
tea,шай
perceive,сезіну
comparison,салыстыру
settlement,төлеу
layer,қабат
planning,жоспарлау
far,алыс
description,сипаттама
later,кейінірек
slow,баяу
slide,сырғанау
widely,кеңінен
wedding,үйлену той
inform,хабарлау
portion,сыбаға
territory,аумақ
immediate,тез
